,Site,Measurement,DateTime,Value,IQR*4 + Q3
9906,SQ33270,Nitrate-N Nitrite-N,2014-04-22 09:32:00,0.73,0.5619999999999999
10539,SQ34412,Nitrate-N Nitrite-N,2008-07-29 10:35:00,2.1,2.011
11836,SQ34705,Nitrate-N Nitrite-N,2010-07-12 12:10:00,0.57,0.54
11969,SQ34706,Nitrate-N Nitrite-N,2018-04-17 13:33:00,2.6,1.3319999999999999
12542,SQ34884,Nitrate-N Nitrite-N,2008-08-20 11:47:00,1.0,0.9239999999999999
12681,SQ34903,Nitrate-N Nitrite-N,2014-08-07 12:34:00,2.2,1.8319999999999996
12735,SQ34905,Nitrate-N Nitrite-N,2008-08-28 09:55:00,2.8,2.6
12874,SQ35119,Nitrate-N Nitrite-N,2017-08-29 09:47:00,0.199,0.19
13346,SQ35174,Nitrate-N Nitrite-N,2018-06-27 16:49:00,0.48,0.46799999999999997
13515,SQ35236,Nitrate-N Nitrite-N,2014-03-06 10:24:00,0.82,0.702
13524,SQ35236,Nitrate-N Nitrite-N,2016-06-02 09:12:00,0.79,0.702
13536,SQ35236,Nitrate-N Nitrite-N,2019-06-04 11:36:00,0.87,0.702
13568,SQ35545,Nitrate-N Nitrite-N,2016-06-02 10:17:00,1.17,1.064
13596,SQ35792,Nitrate-N Nitrite-N,2013-07-23 09:46:00,0.25,0.226
13619,SQ35792,Nitrate-N Nitrite-N,2015-07-23 09:00:00,0.25,0.226
13826,SQ35800,Nitrate-N Nitrite-N,2018-11-26 13:07:00,0.27,0.237
13833,SQ35800,Nitrate-N Nitrite-N,2019-07-22 15:21:00,0.24,0.237
13862,SQ35818,Nitrate-N Nitrite-N,2019-07-23 11:11:00,0.183,0.131
14072,SQ35873,Nitrate-N Nitrite-N,2017-04-18 12:02:00,0.57,0.503
14193,SQ35875,Nitrate-N Nitrite-N,2014-03-17 12:12:00,0.061,0.043
14194,SQ35875,Nitrate-N Nitrite-N,2014-04-08 11:12:00,0.088,0.043
14213,SQ35875,Nitrate-N Nitrite-N,2016-03-15 10:57:00,0.074,0.043
14233,SQ35875,Nitrate-N Nitrite-N,2018-10-26 11:13:00,0.045,0.043
476,SQ10160,Total Nitrogen,2018-11-09 12:33:00,1.19,0.9199999999999999
492,SQ10167,Total Nitrogen,2007-10-10 12:11:00,0.33,0.22899999999999998
537,SQ10167,Total Nitrogen,2018-02-20 10:34:00,0.24,0.22899999999999998
546,SQ10167,Total Nitrogen,2018-11-09 11:05:00,0.5,0.22899999999999998
814,SQ10301,Total Nitrogen,2007-10-09 13:36:00,0.34,0.21600000000000003
816,SQ10301,Total Nitrogen,2010-10-18 13:53:00,0.25,0.21600000000000003
842,SQ10301,Total Nitrogen,2015-04-15 11:37:00,0.23,0.21600000000000003
916,SQ10804,Total Nitrogen,2010-01-20 11:23:00,1.2,0.9530000000000001
998,SQ10814,Total Nitrogen,2006-07-12 10:55:00,0.91,0.6200000000000001
1002,SQ10814,Total Nitrogen,2009-07-21 10:14:00,2.2,0.6200000000000001
1003,SQ10814,Total Nitrogen,2010-07-20 11:00:00,2.1,0.6200000000000001
1007,SQ10814,Total Nitrogen,2011-10-12 10:00:00,0.87,0.6200000000000001
1014,SQ10814,Total Nitrogen,2013-06-10 11:08:00,0.68,0.6200000000000001
1015,SQ10814,Total Nitrogen,2013-07-18 09:41:00,1.13,0.6200000000000001
1064,SQ10814,Total Nitrogen,2017-08-09 09:49:00,0.73,0.6200000000000001
1079,SQ10814,Total Nitrogen,2018-11-09 09:49:00,0.84,0.6200000000000001
1095,SQ10818,Total Nitrogen,2005-02-15 12:00:00,10.0,3.6000000000000005
1179,SQ10818,Total Nitrogen,2017-08-09 10:24:00,4.3,3.6000000000000005
1195,SQ10818,Total Nitrogen,2018-12-11 09:56:00,6.6,3.6000000000000005
1473,SQ20112,Total Nitrogen,2004-08-17 11:00:00,0.71,0.33799999999999997
1477,SQ20112,Total Nitrogen,2007-11-26 11:54:00,0.35,0.33799999999999997
1527,SQ20112,Total Nitrogen,2017-01-19 08:14:00,0.34,0.33799999999999997
1690,SQ20176,Total Nitrogen,2006-11-28 11:20:00,4.6,0.9800000000000002
1697,SQ20176,Total Nitrogen,2009-08-11 10:40:00,1.0,0.9800000000000002
1700,SQ20176,Total Nitrogen,2010-05-11 10:24:00,0.99,0.9800000000000002
1701,SQ20176,Total Nitrogen,2010-08-16 10:35:00,1.2,0.9800000000000002
1998,SQ20199,Total Nitrogen,2012-08-08 10:26:00,4.9,3.94
2067,SQ20203,Total Nitrogen,2016-07-14 09:44:00,0.84,0.45000000000000007
2415,SQ20332,Total Nitrogen,2004-12-13 12:45:00,1.3,0.8940000000000001
2416,SQ20332,Total Nitrogen,2005-06-13 14:25:00,1.7,0.8940000000000001
2814,SQ20497,Total Nitrogen,2017-01-19 09:49:00,0.28,0.11299999999999999
3376,SQ20577,Total Nitrogen,2009-07-07 13:09:00,0.95,0.6300000000000001
3398,SQ20577,Total Nitrogen,2016-07-06 11:01:00,0.82,0.6300000000000001
3402,SQ20577,Total Nitrogen,2017-07-04 10:46:00,0.97,0.6300000000000001
3543,SQ20601,Total Nitrogen,2015-01-22 13:15:00,8.8,6.6000000000000005
3783,SQ20785,Total Nitrogen,2013-06-19 08:32:00,0.33,0.27599999999999997
3832,SQ20785,Total Nitrogen,2017-07-18 09:19:00,0.28,0.27599999999999997
3842,SQ20785,Total Nitrogen,2018-05-23 09:02:00,0.36,0.27599999999999997
3852,SQ20785,Total Nitrogen,2019-03-14 07:46:00,0.31,0.27599999999999997
3904,SQ21044,Total Nitrogen,2012-08-22 13:15:00,3.1,2.8099999999999996
3976,SQ21045,Total Nitrogen,2012-08-22 13:29:00,3.3,3.1149999999999993
5393,SQ22030,Total Nitrogen,2007-04-03 11:10:00,4.6,4.22
5438,SQ22030,Total Nitrogen,2015-03-09 13:01:00,5.9,4.22
5446,SQ22030,Total Nitrogen,2015-11-04 13:30:00,6.2,4.22
5687,SQ26368,Total Nitrogen,2006-10-16 08:55:00,0.24,0.10300000000000001
5688,SQ26368,Total Nitrogen,2007-10-09 09:31:00,0.33,0.10300000000000001
5689,SQ26368,Total Nitrogen,2011-10-26 11:05:00,0.35,0.10300000000000001
5690,SQ26368,Total Nitrogen,2012-06-12 12:00:00,0.36,0.10300000000000001
5695,SQ26368,Total Nitrogen,2013-10-22 08:25:00,0.6,0.10300000000000001
5717,SQ26368,Total Nitrogen,2015-11-25 11:45:00,0.2,0.10300000000000001
5749,SQ26368,Total Nitrogen,2019-05-21 10:43:00,0.193,0.10300000000000001
5757,SQ26369,Total Nitrogen,2007-10-09 09:50:00,0.39,0.231
5758,SQ26369,Total Nitrogen,2011-04-04 10:35:00,1.7,0.231
5821,SQ26369,Total Nitrogen,2018-05-23 12:21:00,0.26,0.231
5848,SQ26633,Total Nitrogen,2006-08-29 10:55:00,8.9,7.071999999999999
5967,SQ26931,Total Nitrogen,2007-12-11 10:45:00,0.37,0.17200000000000001
6018,SQ26931,Total Nitrogen,2017-07-05 10:36:00,0.24,0.17200000000000001
6024,SQ26931,Total Nitrogen,2018-02-01 09:24:00,0.38,0.17200000000000001
6046,SQ26932,Total Nitrogen,2007-12-11 11:20:00,0.5,0.44200000000000006
6367,SQ30144,Total Nitrogen,2015-12-09 15:02:00,0.65,0.4799999999999999
6584,SQ30175,Total Nitrogen,2010-05-31 12:11:00,1.1,1.0939999999999999
7073,SQ30332,Total Nitrogen,2017-10-09 07:27:00,10.4,9.100000000000001
7177,SQ30369,Total Nitrogen,2018-01-12 10:18:00,3.5,3.1299999999999994
7488,SQ30426,Total Nitrogen,2019-11-06 10:35:00,24.0,7.500000000000001
7603,SQ30445,Total Nitrogen,2018-09-11 08:57:00,4.5,1.4500000000000002
7676,SQ30486,Total Nitrogen,2017-04-10 11:23:00,1.22,0.938
7785,SQ30521,Total Nitrogen,2011-04-21 10:50:00,1.1,0.4600000000000001
7795,SQ30521,Total Nitrogen,2014-01-24 08:54:00,0.74,0.4600000000000001
7813,SQ30521,Total Nitrogen,2017-05-02 15:22:00,0.5,0.4600000000000001
7816,SQ30521,Total Nitrogen,2018-02-23 09:26:00,0.48,0.4600000000000001
7852,SQ30525,Total Nitrogen,2011-03-24 10:45:00,0.27,0.259
7923,SQ30707,Total Nitrogen,2013-05-08 13:15:00,6.6,1.9700000000000002
8010,SQ30782,Total Nitrogen,2004-08-27 12:50:00,0.88,0.8599999999999999
8498,SQ30928,Total Nitrogen,2006-08-24 11:00:00,2.0,1.5470000000000002
9931,SQ31018,Total Nitrogen,2012-02-27 13:15:00,2.2,0.329
9932,SQ31018,Total Nitrogen,2012-05-28 12:10:00,0.35,0.329
9969,SQ31018,Total Nitrogen,2016-02-18 15:01:00,0.35,0.329
10004,SQ31018,Total Nitrogen,2019-01-24 14:44:00,0.48,0.329
10016,SQ31020,Total Nitrogen,2004-03-17 11:30:00,0.32,0.28800000000000003
10065,SQ31020,Total Nitrogen,2016-11-15 12:13:00,0.33,0.28800000000000003
10251,SQ31047,Total Nitrogen,2007-02-28 13:23:00,1.8,1.7200000000000002
10252,SQ31047,Total Nitrogen,2007-03-27 16:10:00,1.9,1.7200000000000002
10253,SQ31047,Total Nitrogen,2007-04-19 11:26:00,2.1,1.7200000000000002
10375,SQ31051,Total Nitrogen,2017-02-15 10:55:00,0.52,0.415
10400,SQ31052,Total Nitrogen,2017-12-14 13:51:00,1.15,0.38999999999999996
10523,SQ31093,Total Nitrogen,2014-03-21 10:20:00,0.44,0.30000000000000004
10548,SQ31093,Total Nitrogen,2019-03-19 13:46:00,0.32,0.30000000000000004
10671,SQ32732,Total Nitrogen,2014-12-01 11:54:00,1.22,0.9850000000000001
10840,SQ32802,Total Nitrogen,2013-04-24 00:00:00,0.69,0.5499999999999999
11142,SQ32908,Total Nitrogen,2007-02-28 14:28:00,0.15,0.115
11205,SQ32909,Total Nitrogen,2007-01-30 12:49:00,0.15,0.098
11206,SQ32909,Total Nitrogen,2007-02-28 15:15:00,0.1,0.098
11218,SQ32909,Total Nitrogen,2010-02-23 12:43:00,0.13,0.098
11418,SQ33055,Total Nitrogen,2011-10-19 09:45:00,2.3,0.9199999999999999
11532,SQ33056,Total Nitrogen,2011-10-19 10:10:00,3.2,1.748
11627,SQ33147,Total Nitrogen,2004-01-05 10:55:00,9.2,5.76
11628,SQ33147,Total Nitrogen,2004-01-29 13:30:00,12.0,5.76
11665,SQ33147,Total Nitrogen,2005-02-03 13:20:00,6.3,5.76
11666,SQ33147,Total Nitrogen,2005-02-17 13:15:00,23.0,5.76
11670,SQ33147,Total Nitrogen,2005-03-30 12:50:00,8.0,5.76
11691,SQ33147,Total Nitrogen,2006-02-02 13:30:00,11.0,5.76
11692,SQ33147,Total Nitrogen,2006-02-15 11:15:00,200.0,5.76
11717,SQ33147,Total Nitrogen,2007-03-07 13:00:00,11.0,5.76
11718,SQ33147,Total Nitrogen,2007-04-02 11:55:00,12.0,5.76
11738,SQ33147,Total Nitrogen,2008-01-18 10:55:00,10.0,5.76
11740,SQ33147,Total Nitrogen,2008-02-11 11:40:00,6.5,5.76
11771,SQ33147,Total Nitrogen,2010-04-14 13:20:00,9.0,5.76
11840,SQ33147,Total Nitrogen,2016-01-19 13:10:00,6.0,5.76
11953,SQ33148,Total Nitrogen,2017-09-26 07:44:00,1.58,1.4380000000000002
11966,SQ33148,Total Nitrogen,2018-11-26 07:56:00,1.45,1.4380000000000002
12069,SQ33270,Total Nitrogen,2018-10-30 09:45:00,0.92,0.6890000000000001
12070,SQ33270,Total Nitrogen,2018-11-26 09:22:00,1.18,0.6890000000000001
12119,SQ33273,Total Nitrogen,2011-10-12 12:25:00,4.2,3.6719999999999997
14065,SQ34704,Total Nitrogen,2007-07-19 10:55:00,0.4,0.382
14121,SQ34704,Total Nitrogen,2017-09-26 08:42:00,0.39,0.382
14293,SQ34706,Total Nitrogen,2018-04-17 13:33:00,2.8,1.46
15112,SQ34907,Total Nitrogen,2010-02-23 12:54:00,0.13,0.114
15163,SQ34908,Total Nitrogen,2007-02-28 15:05:00,0.11,0.093
15207,SQ34908,Total Nitrogen,2017-01-30 09:55:00,0.2,0.093
15404,SQ35156,Total Nitrogen,2014-12-01 11:32:00,1.35,1.2699999999999998
15774,SQ35174,Total Nitrogen,2018-11-26 14:30:00,1.45,0.876
16065,SQ35363,Total Nitrogen,2014-04-24 12:00:00,4.0,1.5780000000000003
16124,SQ35364,Total Nitrogen,2017-01-30 11:25:00,1.62,1.09
16276,SQ35640,Total Nitrogen,2018-12-21 09:21:00,0.11,0.09800000000000002
16306,SQ35641,Total Nitrogen,2014-12-16 12:57:00,0.131,0.13
16586,SQ35800,Total Nitrogen,2018-11-26 13:07:00,0.86,0.356
16594,SQ35800,Total Nitrogen,2019-07-22 15:21:00,0.73,0.356
16599,SQ35800,Total Nitrogen,2019-12-18 13:55:00,0.41,0.356
16696,SQ35871,Total Nitrogen,2018-11-09 12:00:00,0.74,0.6880000000000001
16772,SQ35872,Total Nitrogen,2018-06-13 09:26:00,0.72,0.712
16998,SQ35875,Total Nitrogen,2017-03-23 09:33:00,0.79,0.7699999999999998
17065,SQ35876,Total Nitrogen,2016-02-19 08:50:00,0.49,0.46399999999999997
17100,SQ35876,Total Nitrogen,2019-01-18 09:17:00,0.6,0.46399999999999997
17162,SQ35962,Total Nitrogen,2014-09-17 08:11:00,0.179,0.081
17186,SQ35962,Total Nitrogen,2016-09-27 09:39:00,0.109,0.081
17233,SQ36037,Total Nitrogen,2016-12-14 10:15:00,15.9,14.35
266,SQ10174,Ammoniacal Nitrogen,2009-10-20 10:06:00,0.092,0.05600000000000001
350,SQ10301,Ammoniacal Nitrogen,2010-01-18 14:06:00,0.051,0.043
368,SQ10804,Ammoniacal Nitrogen,2005-11-29 09:15:00,0.13,0.06
370,SQ10804,Ammoniacal Nitrogen,2006-01-24 09:50:00,0.061,0.06
384,SQ10804,Ammoniacal Nitrogen,2009-10-21 11:07:00,0.067,0.06
479,SQ10818,Ammoniacal Nitrogen,2006-04-10 14:25:00,0.32,0.204
481,SQ10818,Ammoniacal Nitrogen,2006-10-18 10:35:00,0.34,0.204
513,SQ10818,Ammoniacal Nitrogen,2014-10-15 09:50:00,0.23,0.204
544,SQ10852,Ammoniacal Nitrogen,2008-01-15 10:40:00,0.068,0.044000000000000004
567,SQ10852,Ammoniacal Nitrogen,2016-04-20 10:37:00,0.072,0.044000000000000004
571,SQ20104,Ammoniacal Nitrogen,2004-08-17 12:45:00,0.4,0.10800000000000001
863,SQ20195,Ammoniacal Nitrogen,2013-10-09 07:55:00,0.49,0.063
869,SQ20195,Ammoniacal Nitrogen,2014-06-11 08:30:00,0.197,0.063
878,SQ20195,Ammoniacal Nitrogen,2017-04-12 12:01:00,0.18,0.063
880,SQ20195,Ammoniacal Nitrogen,2018-01-12 08:13:00,1.02,0.063
925,SQ20199,Ammoniacal Nitrogen,2012-08-08 10:26:00,0.11,0.076
986,SQ20236,Ammoniacal Nitrogen,2017-08-14 09:48:00,0.092,0.086
1026,SQ20252,Ammoniacal Nitrogen,2013-10-09 07:20:00,0.085,0.045000000000000005
1029,SQ20252,Ammoniacal Nitrogen,2014-06-11 08:15:00,0.051,0.045000000000000005
1035,SQ20252,Ammoniacal Nitrogen,2018-01-12 07:48:00,0.048,0.045000000000000005
1036,SQ20252,Ammoniacal Nitrogen,2018-12-04 08:03:00,0.054,0.045000000000000005
1090,SQ20332,Ammoniacal Nitrogen,2006-06-26 13:40:00,0.31,0.042
1096,SQ20332,Ammoniacal Nitrogen,2008-03-11 12:36:00,0.045,0.042
1136,SQ20350,Ammoniacal Nitrogen,2011-06-08 10:05:00,0.26,0.04
1148,SQ20401,Ammoniacal Nitrogen,2005-05-17 15:20:00,1.9,0.9339999999999999
1208,SQ20509,Ammoniacal Nitrogen,2006-05-09 11:00:00,0.12,0.08800000000000001
1238,SQ20509,Ammoniacal Nitrogen,2014-04-29 12:20:00,0.24,0.08800000000000001
1247,SQ20509,Ammoniacal Nitrogen,2017-03-30 12:17:00,0.114,0.08800000000000001
1279,SQ20541,Ammoniacal Nitrogen,2012-08-13 11:00:00,0.086,0.059
1310,SQ20544,Ammoniacal Nitrogen,2010-05-03 12:13:00,0.12,0.11400000000000002
1313,SQ20544,Ammoniacal Nitrogen,2011-02-08 11:22:00,0.31,0.11400000000000002
1314,SQ20544,Ammoniacal Nitrogen,2011-05-02 12:37:00,0.12,0.11400000000000002
1388,SQ20545,Ammoniacal Nitrogen,2013-10-09 10:00:00,0.22,0.07600000000000001
1486,SQ20601,Ammoniacal Nitrogen,2004-04-19 10:30:00,0.54,0.14300000000000002
1489,SQ20601,Ammoniacal Nitrogen,2004-07-12 10:30:00,0.57,0.14300000000000002
1524,SQ20601,Ammoniacal Nitrogen,2007-08-06 10:44:00,0.38,0.14300000000000002
1644,SQ20725,Ammoniacal Nitrogen,2017-09-18 11:13:00,0.04,0.032999999999999995
1665,SQ21044,Ammoniacal Nitrogen,2004-12-07 09:50:00,0.053,0.04
1695,SQ21044,Ammoniacal Nitrogen,2012-08-22 13:15:00,0.044,0.04
1724,SQ21045,Ammoniacal Nitrogen,2007-11-12 12:20:00,0.27,0.13599999999999998
1749,SQ21045,Ammoniacal Nitrogen,2017-08-14 11:30:00,0.177,0.13599999999999998
1762,SQ21046,Ammoniacal Nitrogen,2005-04-12 10:45:00,0.1,0.066
1798,SQ21046,Ammoniacal Nitrogen,2015-05-11 11:01:00,0.69,0.066
1803,SQ21046,Ammoniacal Nitrogen,2017-08-14 11:40:00,0.109,0.066
1845,SQ21047,Ammoniacal Nitrogen,2011-11-22 13:35:00,0.19,0.067
1848,SQ21047,Ammoniacal Nitrogen,2012-08-22 12:59:00,0.11,0.067
1851,SQ21047,Ammoniacal Nitrogen,2013-07-09 12:03:00,0.154,0.067
1857,SQ21047,Ammoniacal Nitrogen,2014-06-11 11:15:00,0.073,0.067
1912,SQ21049,Ammoniacal Nitrogen,2012-08-15 12:33:00,0.14,0.099
1923,SQ21049,Ammoniacal Nitrogen,2014-06-11 11:40:00,0.47,0.099
1945,SQ21049,Ammoniacal Nitrogen,2017-04-12 15:13:00,1.1,0.099
1949,SQ21049,Ammoniacal Nitrogen,2018-01-12 11:37:00,0.175,0.099
2019,SQ21160,Ammoniacal Nitrogen,2009-02-12 11:37:00,0.48,0.22799999999999998
2051,SQ21160,Ammoniacal Nitrogen,2013-05-20 10:23:00,0.67,0.22799999999999998
2069,SQ21160,Ammoniacal Nitrogen,2017-02-03 11:35:00,0.44,0.22799999999999998
2070,SQ21160,Ammoniacal Nitrogen,2017-03-14 10:00:00,0.61,0.22799999999999998
2079,SQ21254,Ammoniacal Nitrogen,2004-02-02 09:45:00,1.5,0.188
2087,SQ21254,Ammoniacal Nitrogen,2004-10-11 10:45:00,0.31,0.188
2120,SQ21254,Ammoniacal Nitrogen,2007-07-03 09:30:00,0.29,0.188
2183,SQ21254,Ammoniacal Nitrogen,2013-05-20 11:05:00,0.44,0.188
2246,SQ21255,Ammoniacal Nitrogen,2013-05-20 10:51:00,0.41,0.299
2259,SQ21255,Ammoniacal Nitrogen,2015-02-11 11:15:00,0.37,0.299
2265,SQ21255,Ammoniacal Nitrogen,2015-10-06 12:41:00,0.32,0.299
2282,SQ21255,Ammoniacal Nitrogen,2018-08-10 11:54:00,1.42,0.299
2283,SQ21255,Ammoniacal Nitrogen,2018-09-03 11:29:00,3.8,0.299
2308,SQ21289,Ammoniacal Nitrogen,2008-04-08 11:14:00,0.37,0.292
2313,SQ21289,Ammoniacal Nitrogen,2009-07-07 12:36:00,0.3,0.292
2328,SQ21289,Ammoniacal Nitrogen,2013-05-20 11:24:00,0.56,0.292
2365,SQ21289,Ammoniacal Nitrogen,2017-12-07 12:38:00,0.61,0.292
2373,SQ21289,Ammoniacal Nitrogen,2019-03-08 12:34:00,0.37,0.292
2379,SQ21292,Ammoniacal Nitrogen,2004-01-14 09:30:00,0.055,0.04100000000000001
2404,SQ21292,Ammoniacal Nitrogen,2008-10-14 10:42:00,0.044,0.04100000000000001
2417,SQ21292,Ammoniacal Nitrogen,2012-10-16 09:20:00,0.042,0.04100000000000001
2529,SQ21298,Ammoniacal Nitrogen,2009-01-19 08:48:00,0.065,0.06199999999999999
2621,SQ21309,Ammoniacal Nitrogen,2007-03-14 13:52:00,0.079,0.059
2627,SQ21309,Ammoniacal Nitrogen,2007-12-12 11:45:00,0.32,0.059
2645,SQ21309,Ammoniacal Nitrogen,2017-08-14 13:20:00,0.2,0.059
2667,SQ22030,Ammoniacal Nitrogen,2007-04-03 11:10:00,3.5,1.954
2712,SQ22030,Ammoniacal Nitrogen,2015-03-09 13:01:00,4.4,1.954
2719,SQ22030,Ammoniacal Nitrogen,2015-11-04 13:30:00,2.1,1.954
2722,SQ22030,Ammoniacal Nitrogen,2016-03-04 06:35:00,2.7,1.954
2804,SQ26221,Ammoniacal Nitrogen,2013-10-09 09:15:00,0.188,0.067
2822,SQ26242,Ammoniacal Nitrogen,2014-04-29 10:55:00,0.189,0.134
2882,SQ26633,Ammoniacal Nitrogen,2005-02-14 13:10:00,0.15,0.05399999999999999
3044,SQ30175,Ammoniacal Nitrogen,2009-05-25 10:20:00,0.039,0.034
3049,SQ30175,Ammoniacal Nitrogen,2010-08-24 10:27:00,0.035,0.034
3144,SQ30222,Ammoniacal Nitrogen,2005-07-20 10:45:00,0.05,0.048
3151,SQ30222,Ammoniacal Nitrogen,2007-04-30 11:40:00,0.14,0.048
3189,SQ30332,Ammoniacal Nitrogen,2007-03-20 10:59:00,0.19,0.083
3200,SQ30332,Ammoniacal Nitrogen,2009-06-04 12:25:00,0.33,0.083
3215,SQ30332,Ammoniacal Nitrogen,2011-08-18 10:22:00,0.087,0.083
3232,SQ30332,Ammoniacal Nitrogen,2017-04-07 11:01:00,0.23,0.083
3235,SQ30332,Ammoniacal Nitrogen,2018-01-12 09:19:00,0.114,0.083
3301,SQ30369,Ammoniacal Nitrogen,2017-10-09 09:10:00,0.25,0.09
3302,SQ30369,Ammoniacal Nitrogen,2018-01-12 10:18:00,0.32,0.09
3404,SQ30400,Ammoniacal Nitrogen,2008-04-29 09:45:00,0.13,0.098
3424,SQ30400,Ammoniacal Nitrogen,2011-08-18 10:55:00,0.14,0.098
3434,SQ30400,Ammoniacal Nitrogen,2016-01-14 10:45:00,0.162,0.098
3441,SQ30400,Ammoniacal Nitrogen,2017-10-09 08:51:00,0.163,0.098
3453,SQ30426,Ammoniacal Nitrogen,2005-02-09 10:00:00,0.11,0.09800000000000002
3478,SQ30426,Ammoniacal Nitrogen,2011-08-18 10:45:00,0.16,0.09800000000000002
